nm_lengkap,jenis_kelamin,tpt_lahir,tgl_lahir,tb,bb,kelas,asal_sekolah,kategori_tanding,golongan,kode_gr,kelas_tanding_FK,kontingen,status
Ahmad Rizki,LAKI-LAKI,Jakarta,2016-05-12,120,25,1 SD,SD Negeri 01 Jakarta,TANDING,Usia Dini 2A,GR001,Kelas A,Kontingen Jakarta Pusat,AKTIF
Bunga Citra,PEREMPUAN,Bandung,2016-08-23,118,24,1 SD,SD Negeri 02 Bandung,TUNGGAL,Usia Dini 2A,GR002,Kelas B,Kontingen Bandung,AKTIF
Candra Wijaya,LAKI-LAKI,Surabaya,2016-03-15,122,26,1 SD,SD Negeri 03 Surabaya,REGU,Usia Dini 2A,GR003,Kelas A,Kontingen Surabaya,AKTIF
Diana Putri,PEREMPUAN,Medan,2016-11-08,117,23,1 SD,SD Negeri 04 Medan,TANDING,Usia Dini 2A,GR004,Kelas B,Kontingen Medan,AKTIF
Eko Prasetyo,LAKI-LAKI,Semarang,2016-07-19,121,25,1 SD,SD Negeri 05 Semarang,TUNGGAL,Usia Dini 2A,GR005,Kelas A,Kontingen Semarang,AKTIF
Fitri Handayani,PEREMPUAN,Palembang,2016-09-27,119,24,1 SD,SD Negeri 06 Palembang,REGU,Usia Dini 2A,GR006,Kelas B,Kontingen Palembang,AKTIF
Galih Saputra,LAKI-LAKI,Makassar,2016-04-03,123,26,1 SD,SD Negeri 07 Makassar,TANDING,Usia Dini 2A,GR007,Kelas A,Kontingen Makassar,AKTIF
Hesti Purnama,PEREMPUAN,Yogyakarta,2016-10-14,116,23,1 SD,SD Negeri 08 Yogyakarta,TUNGGAL,Usia Dini 2A,GR008,Kelas B,Kontingen Yogyakarta,AKTIF
Indra Lesmana,LAKI-LAKI,Malang,2016-06-30,120,25,1 SD,SD Negeri 09 Malang,REGU,Usia Dini 2A,GR009,Kelas A,Kontingen Malang,AKTIF
Joko Susilo,LAKI-LAKI,Bogor,2016-02-18,121,25,1 SD,SD Negeri 10 Bogor,TANDING,Usia Dini 2A,GR010,Kelas B,Kontingen Bogor,AKTIF
Kevin Pratama,LAKI-LAKI,Jakarta,2015-05-12,125,27,2 SD,SD Negeri 11 Jakarta,TUNGGAL,Usia Dini 2B,GR011,Kelas C,Kontingen Jakarta Timur,AKTIF
